country,dates,genres,score,title,url,votes
United States,2003..2015,"[""Comedy"", ""Romance""]",7.1,Two and a Half Men,https://imdb.com/title/tt0369179/,266796
United States,2022..,"[""Action"", ""Drama"", ""Thriller""]",6.5,Echo 3,https://imdb.com/title/tt12762512/,6581
United States,2020..,"[""Drama"", ""History"", ""Romance""]",7.4,Bridgerton,https://imdb.com/title/tt8740790/,140705
United States,2021..,"[""Action"", ""Crime"", ""Mystery""]",6.5,NCIS: Hawai'i,https://imdb.com/title/tt14218674/,6686
United States,2017..2019,"[""Crime"", ""Drama"", ""Mystery""]",8.6,Mindhunter,https://imdb.com/title/tt5290382/,295078
United States,2016..2022,"[""Comedy"", ""Drama"", ""Romance""]",8.7,This Is Us,https://imdb.com/title/tt5555260/,146503
United States,2011..2020,"[""Crime"", ""Drama"", ""Mystery""]",8.3,Homeland,https://imdb.com/title/tt1796960/,345002
United States,2016..2022,"[""Drama"", ""Mystery"", ""Sci-Fi""]",8.5,Westworld,https://imdb.com/title/tt0475784/,509612
United States,2006..2014,"[""Comedy"", ""Crime"", ""Mystery""]",8.4,Psych,https://imdb.com/title/tt0491738/,99230
United States,2021..,"[""Animation"", ""Action"", ""Adventure""]",8.7,Invincible,https://imdb.com/title/tt6741278/,143076
United States,2007..2015,"[""Drama""]",8.7,Mad Men,https://imdb.com/title/tt0804503/,242394
United States,2019..,"[""Drama""]",8.3,The Morning Show,https://imdb.com/title/tt7203552/,104648
United States,2014..2017,"[""Drama"", ""Fantasy"", ""Mystery""]",8.3,The Leftovers,https://imdb.com/title/tt2699128/,100944
United States,2018..,"[""Drama""]",7.8,The Resident,https://imdb.com/title/tt6483832/,28096
United States,2021..,"[""Adventure"", ""Drama"", ""Fantasy""]",6.2,Fantasy Island,https://imdb.com/title/tt13784584/,4240
United States,2015..2022,"[""Drama"", ""Mystery"", ""Sci-Fi""]",8.5,The Expanse,https://imdb.com/title/tt3230854/,156614
United States,2017..,"[""Action"", ""Drama"", ""War""]",7.8,SEAL Team,https://imdb.com/title/tt6473344/,27721
United States,2017..,"[""Adventure"", ""Comedy"", ""Drama""]",8.0,The Orville,https://imdb.com/title/tt5691552/,89741
United States,1971..2003,"[""Crime"", ""Drama"", ""Mystery""]",8.3,Columbo,https://imdb.com/title/tt1466074/,36610
United States,2023..,"[""Crime"", ""Drama""]",5.5,Alert: Missing Persons Unit,https://imdb.com/title/tt18699118/,1098
United States,2006..2013,"[""Crime"", ""Drama"", ""Mystery""]",8.7,Dexter,https://imdb.com/title/tt0773262/,730435
United States,2013..2019,"[""Comedy"", ""Crime"", ""Drama""]",8.1,Orange Is the New Black,https://imdb.com/title/tt2372162/,305582
United States,1999..2006,"[""Drama""]",8.9,The West Wing,https://imdb.com/title/tt0200276/,78564
United States,2008..2015,"[""Crime"", ""Drama"", ""Mystery""]",8.1,The Mentalist,https://imdb.com/title/tt1196946/,187616
United States,2022..,"[""Action"", ""Adventure"", ""Biography""]",7.8,Our Flag Means Death,https://imdb.com/title/tt11000902/,28351
United States,2020..,"[""Comedy""]",7.8,Mythic Quest,https://imdb.com/title/tt8879940/,27118
United States,2019..,"[""Drama"", ""Sci-Fi""]",8.0,For All Mankind,https://imdb.com/title/tt7772588/,45755
United States,2010..2017,"[""Crime"", ""Drama"", ""Mystery""]",9.1,Sherlock,https://imdb.com/title/tt1475582/,934842
United States,2020..,"[""Action"", ""Crime"", ""Drama""]",7.6,Outer Banks,https://imdb.com/title/tt10293938/,53390
United States,2022..,"[""Action"", ""Adventure"", ""Drama""]",6.3,The Winchesters,https://imdb.com/title/tt14923244/,5754
United States,1993..2004,"[""Comedy""]",8.2,Frasier,https://imdb.com/title/tt0106004/,86265
United States,2019..2023,"[""Action"", ""Adventure"", ""Comedy""]",7.9,The Umbrella Academy,https://imdb.com/title/tt1312171/,252605
United States,2001..2011,"[""Action"", ""Adventure"", ""Drama""]",7.5,Smallville,https://imdb.com/title/tt0279600/,130277
United States,2010..2015,"[""Action"", ""Crime"", ""Drama""]",8.6,Justified,https://imdb.com/title/tt1489428/,102404
United States,2011..2016,"[""Action"", ""Crime"", ""Drama""]",8.5,Person of Interest,https://imdb.com/title/tt1839578/,178762
United States,2005..2017,"[""Action"", ""Crime"", ""Drama""]",8.3,Prison Break,https://imdb.com/title/tt0455275/,541715
United States,2014..2020,"[""Drama"", ""Mystery"", ""Sci-Fi""]",7.6,The 100,https://imdb.com/title/tt2661044/,255601
United States,2003..2019,"[""Comedy""]",8.7,Arrested Development,https://imdb.com/title/tt0367279/,308015
United States,2018..,"[""Action"", ""Comedy"", ""Crime""]",8.4,Barry,https://imdb.com/title/tt5348176/,85691
United States,2023..,"[""Drama""]",7.5,The Way Home,https://imdb.com/title/tt20221678/,366
United States,2019..,"[""Comedy"", ""Fantasy"", ""Horror""]",8.6,What We Do in the Shadows,https://imdb.com/title/tt7908628/,80915
United States,2022..,"[""Action"", ""Adventure"", ""Sci-Fi""]",7.1,Halo,https://imdb.com/title/tt2934286/,63406
United States,2020..2023,"[""Action"", ""Adventure"", ""Drama""]",7.3,Star Trek: Picard,https://imdb.com/title/tt8806524/,72952
