country,dates,genres,score,title,url,votes,critic_count,description,popularity
United States,2018..2023,"[""Action"", ""Comedy"", ""Drama""]",8.5,Cobra Kai,https://www.imdb.com/title/tt7221388/,189344,180,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.",28
United States,2016..2020,"[""Comedy"", ""Drama"", ""Fantasy""]",8.2,The Good Place,https://www.imdb.com/title/tt4955642/,164794,61,Four people and their otherworldly frienemy struggle in the afterlife to define what it means to be good.,326
United Kingdom (Great Britain),2016..2019,"[""Comedy"", ""Drama""]",8.7,Fleabag,https://www.imdb.com/title/tt5687612/,163518,52,A comedy series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy.,359
United States,2014..,"[""Drama"", ""Fantasy"", ""Romance""]",8.4,Outlander,https://www.imdb.com/title/tt3006802/,162065,45,An English combat nurse from 1945 is mysteriously swept back in time to 1743.,106
United States,2018..,"[""Drama"", ""Western""]",8.7,Yellowstone,https://www.imdb.com/title/tt4236770/,158419,36,A ranching family in Montana faces off against others encroaching on their land.,5
United States,2015..2022,"[""Drama"", ""Mystery"", ""Sci"", ""Fi""]",8.5,The Expanse,https://www.imdb.com/title/tt3230854/,156614,73,"In the 24th century, a group of humans untangle a vast plot which threatens the Solar System's fragile state of detente.",197
United States,2015..2018,"[""Drama"", ""Mystery"", ""Sci"", ""Fi""]",8.2,Sense8,https://www.imdb.com/title/tt2431438/,156119,90,"A group of people around the world are suddenly linked mentally, and must find a way to survive being hunted by those who see them as a threat to the world's order.",618
United States,2023..,"[""Action"", ""Adventure"", ""Drama""]",9.2,The Last of Us,https://www.imdb.com/title/tt3581920/,156100,54,"After a global pandemic destroys civilization, a hardened survivor takes charge of a 14-year-old girl who may be humanity's last hope.",1
United States,2018..,"[""Drama""]",8.8,Succession,https://www.imdb.com/title/tt7660850/,155898,63,"The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down from the company.",42
United States,2014..2020,"[""Crime"", ""Drama"", ""Mystery""]",8.1,How to Get Away with Murder,https://www.imdb.com/title/tt3205802/,154289,31,A group of ambitious law students and their brilliant criminal defense professor become involved in a twisted murder plot that promises to change the course of their lives.,315
United States,2014..2019,"[""Comedy""]",8.5,Silicon Valley,https://www.imdb.com/title/tt2575988/,152682,38,"Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper.",461
United States,2016..2022,"[""Comedy"", ""Drama"", ""Romance""]",8.7,This Is Us,https://www.imdb.com/title/tt5555260/,146503,49,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents.",184
United Kingdom (Great Britain),2015..2022,"[""Action"", ""Drama"", ""History""]",8.5,The Last Kingdom,https://www.imdb.com/title/tt4179452/,143834,38,"As Alfred the Great defends his kingdom from Norse invaders, Uhtred--born a Saxon but raised by Vikings--seeks to claim his ancestral birthright.",90
United States,2018..,"[""Action"", ""Drama"", ""Thriller""]",8.0,Jack Ryan,https://www.imdb.com/title/tt5057054/,142324,86,"Up-and-coming CIA analyst, Jack Ryan, is thrust into dangerous field assignments.",29
United Kingdom (Great Britain),2017..,"[""Drama"", ""Mystery"", ""Thriller""]",8.3,Taboo,https://www.imdb.com/title/tt3647998/,140497,34,"Adventurer James Keziah Delaney returns to London during the War of 1812 to rebuild his late father's shipping empire. However, both the government and his biggest competitor want his inheritance at any cost--even murder.",544
United Kingdom (Great Britain),2010..2019,"[""Crime"", ""Drama"", ""Mystery""]",8.4,Luther,https://www.imdb.com/title/tt1474684/,138811,60,DCI John Luther is a near-genius murder detective whose brilliant mind can't always save him from the dangerous violence of his passions.,396
